"question","ground_truth","contexts","evolution_type"
"Thuế GTGT phải nộp trong kỳ (dòng 40) là bao nhiêu?","52.133.830 đồng","[""Thuế GTGT phải nộp của hoạt động SXKD trong kỳ 52.133.830 [40a]""]","simple"
"Công ty nộp thuế theo kỳ nào?","Quý 4 năm 2024","[""[016] Kỳ tính thuế: Quý 4 năm 2024""]","simple"
"Tên người nộp thuế là gì?","CÔNG TY CÓ PHẦN DHA SURFACES","[""[04] Tên người nộp thuế: CÔNG TY CÓ PHẦN DHA SURFACES""]","simple"
"Mã số thuế của công ty DHA là gì?","0106769437","[""[05] Mã số thuế: 0106769437""]","simple"
"Thuế GTGT đầu vào được khấu trừ kỳ này là bao nhiêu?","215.163.767 đồng","[""Thuế GTGT hàng mua vào được khấu trừ kỳ này 215.163.767 [25]""]","simple"
"Tổng giá trị hàng hóa dịch vụ mua vào là bao nhiêu?","2.405.743.241 đồng","[""Giá trị hàng hóa mua vào 2.405.743.241 [23] thuế 215.163.767 [24]""]","simple"
"Hàng hóa bán ra chịu thuế suất 10% có giá trị bao nhiêu?","3.703.685.610 đồng","[""Hàng hóa bán ra thuế suất 10%: 3.703.685.610 [32] thuế 344.675.400 [33]""]","simple"
"Thuế GTGT còn khấu trừ kỳ trước chuyển sang là bao nhiêu?","77.377.803 đồng","[""Thuế GTGT còn khấu trừ kỳ trước chuyển sang 77.377.803 [22]""]","simple"
"Thuế GTGT phát sinh trong kỳ là bao nhiêu?","129.511.633 đồng","[""Thuế GTGT phát sinh trong kỳ [36] 129.511.633""]","simple"
"Tổng doanh thu hàng bán ra là bao nhiêu?","3.703.655.610 đồng","[""Tổng doanh thu và thuế GTGT hàng bán ra [34] 3.703.655.610 [35] 344.675.400""]","simple"
"Hàng hóa nhập khẩu trong kỳ có giá trị bao nhiêu?","0 đồng","[""Hàng hóa nhập khẩu 0 [2.3a] [24b] 0""]","simple"
"Thuế GTGT điều chỉnh giảm kỳ trước là bao nhiêu?","0 đồng","[""Điều chỉnh giảm [37] 0""]","simple"
"Tờ khai áp dụng mẫu số nào?","Mẫu số 01/GTGT","[""Mẫu số: 01/GTGT ban hành kèm Thông tư số 50/2021/TT-BTC""]","simple"
"Hàng hóa bán ra chịu thuế suất 5% có giá trị bao nhiêu?","0 đồng","[""Hàng hóa bán ra thuế suất 5%: 0 [30] thuế 0 [31]""]","simple"
"Thuế GTGT chưa khấu trừ hết kỳ này là bao nhiêu?","0 đồng","[""Thuế GTGT chưa khấu trừ hết kỳ này [41] 0""]","simple"
"Hàng hóa bán ra không chịu thuế GTGT là bao nhiêu?","0 đồng","[""Hàng hóa bán ra không chịu thuế GTGT [26] 0""]","simple"
"Nguyên tắc nào chi phối việc xử lý dữ liệu cá nhân?","Hợp pháp; minh bạch; mục đích cụ thể; giới hạn lưu trữ","[""Xu ly du lieu ca nhan phai tuan thu nguyen tac hop phap minh bach muc dich cu the gioi han luu tru""]","simple"
"Thời hạn báo cáo sự cố rò rỉ dữ liệu là bao lâu?","72 giờ kể từ khi phát hiện","[""To chuc xu ly du lieu co nghia vu bao cao su co trong vong 72 gio ke tu khi phat hien""]","simple"
"Điều kiện chuyển giao dữ liệu cá nhân ra nước ngoài gồm gì?","Đánh giá tác động; hợp đồng; biện pháp bảo đảm","[""Chuyen giao du lieu ca nhan ra nuoc ngoai can danh gia tac dong hop dong bien phap bao dam""]","simple"
"Chủ thể dữ liệu phải được thông báo điều gì trước khi thu thập?","Mục đích xử lý dữ liệu","[""Chu the du lieu phai duoc thong bao ro rang ve muc dich xu ly truoc khi thu thap""]","simple"
"Tên hoạt động sản xuất kinh doanh của DHA là gì?","Hoạt động sản xuất kinh doanh thông thường","[""[01a] Tên hoạt động SXKD: Hoạt động sản xuất kinh doanh thông thường""]","simple"
"Người ký tờ khai là ai?","TRỊNH THỊ SANG","[""Ký điện tử bởi: TRỊNH THỊ SANG - CÔNG TY CỔ PHẦN DHA SURFACES""]","simple"
"Tờ khai được nộp lần đầu hay bổ sung?","Lần đầu (ô [02])","[""[02] Lần đầu: [x] [03] Bổ sung lần thứ: [1]""]","simple"
"Thuế GTGT đề nghị hoàn là bao nhiêu?","0 đồng","[""Thuế GTGT đề nghị hoàn [42] 0""]","simple"
"Thuế GTGT còn khấu trừ chuyển kỳ sau là bao nhiêu?","0 đồng","[""Thuế GTGT còn được khấu trừ chuyển kỳ sau [43] 0""]","simple"
"Tại sao thuế GTGT còn khấu trừ kỳ trước không làm số thuế phải nộp về 0?","Thuế phát sinh kỳ này 129.511.633 lớn hơn khấu trừ 77.377.803 nên số phải nộp là 52.133.830 đồng","[""Thuế GTGT còn khấu trừ kỳ trước 77.377.803 [22]; Thuế phát sinh kỳ này [36] 129.511.633; Thuế phải nộp [40] 52.133.830""]","reasoning"
"Vì sao không có hàng chịu thuế suất 0% và 5% trong kỳ?","Doanh nghiệp không phát sinh hoạt động xuất khẩu (0%) hoặc hàng hóa đặc thù (5%) trong Q4/2024","[""Hàng hóa bán ra thuế suất 0%: [29] 0; thuế suất 5%: [30] 0; thuế suất 10%: 3.703.685.610""]","reasoning"
"Công ty có thể khấu trừ bao nhiêu thuế GTGT đầu vào và tỷ lệ khấu trừ là bao nhiêu?","215.163.767 đồng được khấu trừ hoàn toàn; tỷ lệ đầu vào/đầu ra = 215.163.767/344.675.400 ≈ 62.4%","[""Thuế GTGT hàng mua vào 215.163.767 [24]; Thuế GTGT được khấu trừ 215.163.767 [25]; Thuế GTGT hàng bán ra 344.675.400 [35]""]","reasoning"
"Tại sao nghĩa vụ thông báo mục đích xử lý dữ liệu quan trọng theo Nghị định 13/2023?","Đây là cơ chế đảm bảo nguyên tắc minh bạch và cho phép chủ thể dữ liệu thực hiện quyền đồng ý có ý thức","[""Nguyen tac xu ly phai minh bach; Chu the du lieu phai duoc thong bao ro rang ve muc dich xu ly truoc khi thu thap""]","reasoning"
