question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
Thuế GTGT phải nộp trong kỳ (dòng 40) là bao nhiêu?,[RAG answer],"[""Thuế GTGT phải nộp của hoạt động SXKD trong kỳ 52.133.830 [40a]""]",52.133.830 đồng,simple,0.9248,0.8717,0.8453,0.9114
Công ty nộp thuế theo kỳ nào?,[RAG answer],"[""[016] Kỳ tính thuế: Quý 4 năm 2024""]",Quý 4 năm 2024,simple,0.8883,0.866,0.9105,0.866
Tên người nộp thuế là gì?,[RAG answer],"[""[04] Tên người nộp thuế: CÔNG TY CÓ PHẦN DHA SURFACES""]",CÔNG TY CÓ PHẦN DHA SURFACES,simple,0.8765,0.9126,0.7676,0.7921
Mã số thuế của công ty DHA là gì?,[RAG answer],"[""[05] Mã số thuế: 0106769437""]",0106769437,simple,0.9121,0.7652,0.6793,0.7863
Thuế GTGT đầu vào được khấu trừ kỳ này là bao nhiêu?,[RAG answer],"[""Thuế GTGT hàng mua vào được khấu trừ kỳ này 215.163.767 [25]""]",215.163.767 đồng,simple,0.8494,0.8989,0.7364,0.7353
Tổng giá trị hàng hóa dịch vụ mua vào là bao nhiêu?,[RAG answer],"[""Giá trị hàng hóa mua vào 2.405.743.241 [23] thuế 215.163.767 [24]""]",2.405.743.241 đồng,simple,0.9733,0.8665,0.8047,0.7345
Hàng hóa bán ra chịu thuế suất 10% có giá trị bao nhiêu?,[RAG answer],"[""Hàng hóa bán ra thuế suất 10%: 3.703.685.610 [32] thuế 344.675.400 [33]""]",3.703.685.610 đồng,simple,0.8728,0.8867,0.7194,0.8425
Thuế GTGT còn khấu trừ kỳ trước chuyển sang là bao nhiêu?,[RAG answer],"[""Thuế GTGT còn khấu trừ kỳ trước chuyển sang 77.377.803 [22]""]",77.377.803 đồng,simple,0.87,0.8625,0.7579,0.9311
Thuế GTGT phát sinh trong kỳ là bao nhiêu?,[RAG answer],"[""Thuế GTGT phát sinh trong kỳ [36] 129.511.633""]",129.511.633 đồng,simple,0.8993,0.8165,0.8576,0.7467
Tổng doanh thu hàng bán ra là bao nhiêu?,[RAG answer],"[""Tổng doanh thu và thuế GTGT hàng bán ra [34] 3.703.655.610 [35] 344.675.400""]",3.703.655.610 đồng,simple,0.9104,0.7624,0.707,0.8318
Hàng hóa nhập khẩu trong kỳ có giá trị bao nhiêu?,[RAG answer],"[""Hàng hóa nhập khẩu 0 [2.3a] [24b] 0""]",0 đồng,simple,0.9369,0.8903,0.7919,0.8019
Thuế GTGT điều chỉnh giảm kỳ trước là bao nhiêu?,[RAG answer],"[""Điều chỉnh giảm [37] 0""]",0 đồng,simple,0.8261,0.8368,0.7678,0.8834
Tờ khai áp dụng mẫu số nào?,[RAG answer],"[""Mẫu số: 01/GTGT ban hành kèm Thông tư số 50/2021/TT-BTC""]",Mẫu số 01/GTGT,simple,0.9172,0.7742,0.8227,0.7969
Hàng hóa bán ra chịu thuế suất 5% có giá trị bao nhiêu?,[RAG answer],"[""Hàng hóa bán ra thuế suất 5%: 0 [30] thuế 0 [31]""]",0 đồng,simple,0.8662,0.9167,0.8722,0.8759
Thuế GTGT chưa khấu trừ hết kỳ này là bao nhiêu?,[RAG answer],"[""Thuế GTGT chưa khấu trừ hết kỳ này [41] 0""]",0 đồng,simple,0.858,0.8614,0.8232,0.8785
